T1,T2,T3,T4,T5,T6,T7,T8
0.00012128290960114292,0.3985358387238693,0.010141279577523948,0.00012126538878959728,0.1615773245144359,0.3240827179364111,0.007829728504428106,0.09759056244494085
0.00013955454037087672,0.8630251337049094,0.00013955484515568,0.0001395499917432658,0.0984797277425317,0.000139553005819641,0.00013953993227848127,0.037797386237190936
0.15618522185491676,0.792391517741283,0.04838968294918362,0.000166462247144203,0.002367680599494793,0.00016647894188965147,0.0001664691427066098,0.00016648652338118703
0.00011540372149193032,0.140760527768817,0.060628193983870225,0.00011539186335764156,0.2703199538992642,0.2979871487650662,0.22137763641631303,0.00869574358181969
0.00011715163967515282,0.13990014127818523,0.12219706567539422,0.00011716289097579447,0.5266578901950854,0.21077627800064494,0.00011716709965758291,0.00011714322038173048
0.00011675836762299161,0.057611559203427296,0.00011674826529532308,0.16523256328182317,0.18293563580434322,0.5937532416893521,0.00011674435187877589,0.00011674903625708231
0.018328685369034953,0.24840561612695752,0.00011329536860783401,0.00011330435325371823,0.22498936742975612,0.48953387040943747,0.018402558211343612,0.00011330273160875035
0.00010723433444795612,0.2164476218337397,0.016548067608455723,0.027346384252191644,0.3337605874354317,0.3473663118064764,0.05831656114163019,0.00010723158762671379
0.00012682199849122148,0.618574820407512,0.024152903376819367,0.0001268140140021365,0.06603079468420744,0.17909465500496047,0.06759828363534184,0.044294906878665635
0.1696605231867996,0.7717708895978777,0.00013287613917960405,0.00013286215540583054,0.00013287800323877224,0.00013287306434951133,0.0001328811180517974,0.05790421673509718
0.1402188840915899,0.5020754818006228,0.00011356240847712513,0.00011355709506352579,0.06175895443782477,0.29549243152832494,0.00011356146634378349,0.0001135671717532157
0.17388426769390514,0.5502809999592351,0.00012428652177594361,0.000124279138575383,0.028845392026537655,0.24649220466312438,0.0001242921227879906,0.00012427787405840072
0.0760427454841685,0.4615717001507323,0.00010864823708530352,0.00010862873373981326,0.00010863044537748639,0.2709350980655531,0.19101592273497944,0.00010862614836418132
0.06748061657098997,0.6724397921721417,0.10688304131493995,0.00011354931639285471,0.00011356265189725674,0.08937263812472081,0.06348325419792798,0.00011354565098954412
0.03985814171433705,0.41806464564508794,0.00011526044933910757,0.00011525166015168845,0.06874746984114519,0.3380122757666333,0.13497169177412824,0.000115263149177524
0.017287962446125075,0.6250536740404359,0.00010487378171461402,0.00010487061858230494,0.09115433832060237,0.19492279456462555,0.06357711542658062,0.007794370801333614
0.00010857771995727832,0.11241724365882305,0.0001085358871601597,0.00010850673709673053,0.8462173933957371,0.021317091799173484,0.00010849861056022361,0.019614152191491964
0.00010956457187435031,0.43436040508673024,0.005218361130039439,0.025602213195658356,0.12992710221280274,0.37695694655034456,0.020914437081918306,0.006910970170631939
0.00010334199982140057,0.3048026485785917,0.023354342329085884,0.013811204584552709,0.25776431093767344,0.09441885600598895,0.30564195022712537,0.00010334533716065738
0.00010508012916636137,0.0886297701728436,0.01571296945641913,0.0001050902114652879,0.09561810060495977,0.48753823140801356,0.2906164977409119,0.02167426027622041
0.010580630528048678,0.01954938372252205,0.00010344656192497157,0.00010345514280482395,0.4530890424066316,0.5144376874422378,0.00010345098824913179,0.002032903207580827
